Bonus;;;;;;;;;;;;;
Sous-jacent;Niveau bonus;Barrière;Constatation finale;Échéance;Parité (produit/ss-jacent);Achat;Vente;Cours du Sous-Jacent;Rendement min. potentiel *;Ecart/seuil **;Mnémo;Isin;Dernière mise à jour
LVMH;90 €;59 €;24 sept. 10;8 oct. 10;1/1;74,61 € (c);74,91 € (c);76,11 €;--;Barrière franchie;2505S;FR0010514414;08/02/2010 17:29:45
MICHELIN;100 €;64 €;19 juil. 10;2 août 10;1/1;52,78 € (c);52,98 € (c);52,94 €;--;Barrière franchie;2509S;FR0010514471;08/02/2010 17:29:48
NIKKEI 225;21 000 pts;12 300 pts;1 oct. 10;15 oct. 10;100/1;99,45 € (s);100,40 € (s);--;--;Barrière franchie;2473S;FR0010514489;08/02/2010 17:09:21
PINAULT PRINTEMPS;89,95 €;58,57 €;30 sept. 11;18 oct. 11;1/1;83,14 € (c);83,44 € (c);83,41 €;7,80%; 29,78%;0310S;FR0010801993;08/02/2010 17:29:54
RENAULT;140 €;68 €;19 juil. 10;2 août 10;1/1;32,55 € (c);32,70 € (c);32,69 €;--;Barrière franchie;2514S;FR0010514513;08/02/2010 17:29:50
S&P GSCI AGRI;80 pts;52 pts;1 oct. 10;15 oct. 10;1/1;54,15 € (c);55,25 € (c);54,67 pts;--;Barrière franchie;2543S;FR0010517409;08/02/2010 17:29:46
SAINT GOBAIN;86,31 €;54,51 €;21 juil. 10;6 août 10;0,91/1;34,27 € (c);34,42 € (c);32,28 €;--;Barrière franchie;2517S;FR0010514570;08/02/2010 17:29:54
SANOFI AVENTIS;72 €;42 €;19 juil. 10;2 août 10;1/1;50,64 € (c);50,84 € (c);53 €;--;Barrière franchie;2518S;FR0010514646;08/02/2010 17:29:43
SCHNEIDER ELECTRIC;75,12 €;46,61 €;30 sept. 11;18 oct. 11;1/1;71,12 € (c);71,42 € (c);72,96 €;5,18%; 36,12%;0311S;FR0010802009;08/02/2010 17:29:54
SCHNEIDER ELECTRIC;130 €;68,50 €;19 juil. 10;2 août 10;1/1;70,59 € (c);70,89 € (c);72,96 €;--;Barrière franchie;2520S;FR0010514687;08/02/2010 17:29:54
TOTAL;45,90 €;28,36 €;30 sept. 11;18 oct. 11;1/1;40,70 € (c);40,90 € (c);40,875 €;12,22%; 30,62%;0312S;FR0010802017;08/02/2010 17:29:44
TOTAL;70 €;38 €;19 juil. 10;2 août 10;1/1;39,45 € (c);39,60 € (c);40,875 €;--;Barrière franchie;2529S;FR0010514711;08/02/2010 17:29:48
VALLOUREC;127,80 €;76,54 €;30 sept. 11;18 oct. 11;1/1;121,65 € (c);122,15 € (c);122,84 €;4,63%; 37,69%;0315S;FR0010802041;08/02/2010 17:29:02
VEOLIA;28,32 €;17,05 €;30 sept. 11;18 oct. 11;1/1;23,87 € (c);24,02 € (c);23,27 €;17,90%; 26,73%;0313S;FR0010802025;08/02/2010 17:29:53
VEOLIA;60 €;36 €;19 juil. 10;2 août 10;1/1;22,06 € (c);22,21 € (c);23,27 €;--;Barrière franchie;2532S;FR0010514745;08/02/2010 17:29:53
VINCI;60 €;35 €;19 juil. 10;2 août 10;1/1;36,80 € (c);36,95 € (c);38,01 €;--;Barrière franchie;2539S;FR0010514752;08/02/2010 17:29:32
VIVENDI;23,62 €;14,04 €;30 sept. 11;18 oct. 11;1/1;17,74 € (c);17,84 € (c);18,015 €;32,40%; 22,06%;0314S;FR0010802033;08/02/2010 17:29:52
VIVENDI;40 €;22 €;19 juil. 10;2 août 10;1/1;16,64 € (c);16,74 € (c);18,015 €;--;Barrière franchie;2540S;FR0010514760;08/02/2010 17:29:52
* Rendement en cas de remboursement au Niveau Bonus. Cela correspond au rendement minimum du placement pour un investissement au cours actuel du produit, et cela dès lors que la barrière n'est pas touchée en cours de vie.;;;;;;;;;;;;;
** Baisse du sous-jacent en clôture par rapport au niveau actuel pour laquelle le Niveau Bonus n'est plus garanti (Barrière désactivée).;;;;;;;;;;;;;
Dans ce cas, le certificat vaudra à échéance le minimum entre la valeur de l'action à la Date de constatation finale et le Niveau Bonus.;;;;;;;;;;;;;
Les chiffres relatifs à des performances futures sont des prévisions qui ne constituent pas un indicateur fiable quant aux performances futures.;;;;;;;;;;;;;
Les gains ou pertes éventuels peuvent se voir réduits ou augmentés en fonction des taux de change et ne prennent pas en compte les frais, commissions et redevances éventuels supportés par l'investisseur;;;;;;;;;;;;;
(ex : impôts, taxes ou autres frais induits par la réglementation locale, frais de courtage ou autres commissions prélevés par l'intermédiaire financier...);;;;;;;;;;;;;
