Warrants Dev. & Mat. Prem.;;;;;;;;;;
Type Warrant;Prix d'exercice;Échéance;Achat;Vente;Parité (warrant/ss-jacent);Delta;Effet de levier;Mnémo;Isin;Dernière mise à jour
Call;1,50 $;17 déc. 10;0,20 € (c);0,21 € (c);1/10;23,5 %;8,37;0881S;FR0010844068;08/02/2010 17:20:19
Call;1,55 $;17 déc. 10;0,13 € (c);0,14 € (c);1/10;16,5 %;9,17;0882S;FR0010844076;08/02/2010 16:36:47
Call;1,60 $;17 déc. 10;0,08 € (c);0,09 € (c);1/10;11,4 %;9,70;0883S;FR0010844084;08/02/2010 16:36:47
Put;1,30 $;17 déc. 10;0,32 € (c);0,33 € (c);1/10; 32 %;7,26;0884S;FR0010844092;08/02/2010 17:25:48
Put;1,35 $;17 déc. 10;0,45 € (c);0,46 € (c);1/10; 42,9 %;6,87;0885S;FR0010844100;08/02/2010 17:24:53
Put;1,40 $;17 déc. 10;0,65 € (c);0,66 € (c);1/10; 54,8 %;6,09;0886S;FR0010844118;08/02/2010 17:27:49
Call;1,45 $;17 juin 11;0,43 € (c);0,44 € (c);1/10;36,8 %;6,26;0887S;FR0010844126;08/02/2010 17:27:17
Call;1,50 $;17 juin 11;0,30 € (c);0,31 € (c);1/10;28,6 %;6,79;0888S;FR0010844134;08/02/2010 17:16:34
Call;1,55 $;17 juin 11;0,22 € (c);0,23 € (c);1/10;21,9 %;7,08;0889S;FR0010844142;08/02/2010 16:49:30
Call;1,60 $;17 juin 11;0,15 € (c);0,16 € (c);1/10;16,4 %;7,80;0890S;FR0010844159;08/02/2010 16:36:47
Put;1,30 $;17 juin 11;0,43 € (c);0,44 € (c);1/10; 34 %;5,78;0891S;FR0010844167;08/02/2010 17:21:49
Put;1,35 $;17 juin 11;0,59 € (c);0,60 € (c);1/10; 43 %;5,28;0892S;FR0010844175;08/02/2010 17:27:43
Put;1,40 $;17 juin 11;0,79 € (c);0,80 € (c);1/10; 52,4 %;4,81;0893S;FR0010844183;08/02/2010 17:27:12
Put;1,45 $;17 juin 11;1,03 € (c);1,04 € (c);1/10; 61,5 %;4,34;0894S;FR0010844191;08/02/2010 17:26:57
Call;1,50 $;16 déc. 11;0,40 € (c);0,41 € (c);1/10;32 %;5,83;0895S;FR0010844209;08/02/2010 17:19:14
Call;1,60 $;16 déc. 11;0,23 € (c);0,24 € (c);1/10;20,3 %;6,35;0896S;FR0010844217;08/02/2010 17:02:03
Put;1,35 $;16 déc. 11;0,70 € (c);0,71 € (c);1/10; 42,5 %;4,41;0897S;FR0010844225;08/02/2010 17:27:17
Put;1,45 $;16 déc. 11;1,12 € (c);1,13 € (c);1/10; 58,4 %;3,78;0898S;FR0010844233;08/02/2010 17:26:58
;;;;;;;;;;
OR  1 068,90 $;;;;;;;;;;
Call;1 000 $;19 mars 10;1,33 € (c);1,36 € (c);50/1;79 %;9,24;0029S;FR0010794024;08/02/2010 17:27:20
Call;1 050 $;19 mars 10;0,74 € (c);0,77 € (c);50/1;60,5 %;12,50;6265S;FR0010740589;08/02/2010 17:28:52
Call;1 100 $;19 mars 10;0,38 € (c);0,41 € (c);50/1;38,3 %;15,53;0030S;FR0010794032;08/02/2010 17:29:33
Call;1 150 $;19 mars 10;0,17 € (c);0,19 € (c);50/1;22 %;19,07;0463S;FR0010817338;08/02/2010 17:24:24
Call;1 200 $;19 mars 10;0,08 € (c);0,09 € (c);50/1;12,2 %;22,49;0464S;FR0010817346;08/02/2010 17:14:02
Call;1 250 $;19 mars 10;0,03 € (c);0,04 € (c);50/1;5 %;22,17;6266S;FR0010740597;08/02/2010 15:35:20
Put;800 $;19 mars 10;--;--;50/1;--;--;6267S;FR0010740605;07/01/2010 16:49:20
Put;850 $;19 mars 10;0,01 € (c);0,02 € (c);50/1; 1,5 %;15,92;0031S;FR0010794040;08/02/2010 14:35:00
Put;900 $;19 mars 10;0,03 € (c);0,04 € (c);50/1; 4,3 %;19,10;6268S;FR0010740613;08/02/2010 16:23:23
Put;950 $;19 mars 10;0,08 € (c);0,09 € (c);50/1; 9 %;16,50;0032S;FR0010794057;08/02/2010 17:26:01
Put;1 000 $;19 mars 10;0,19 € (c);0,21 € (c);50/1; 20,4 %;15,92;0465S;FR0010817353;08/02/2010 17:26:01
Put;1 050 $;19 mars 10;0,42 € (c);0,45 € (c);50/1; 39,4 %;14,13;0466S;FR0010817361;08/02/2010 17:27:05
Call;1 000 $;18 juin 10;1,63 € (c);1,66 € (c);50/1;69,6 %;6,64;0033S;FR0010794065;08/02/2010 17:29:31
Call;1 100 $;18 juin 10;0,88 € (c);0,91 € (c);50/1;46,6 %;8,13;6269S;FR0010740621;08/02/2010 17:26:53
Call;1 200 $;18 juin 10;0,46 € (c);0,49 € (c);50/1;28,1 %;9,44;0467S;FR0010817379;08/02/2010 17:26:37
Call;1 300 $;18 juin 10;0,24 € (c);0,26 € (c);50/1;16,6 %;10,36;6270S;FR0010740639;08/02/2010 17:14:53
Put;800 $;18 juin 10;0,08 € (c);0,09 € (c);50/1; 5 %;9,13;6271S;FR0010740647;08/02/2010 17:26:53
Put;900 $;18 juin 10;0,22 € (c);0,24 € (c);50/1; 13,3 %;9,05;6272S;FR0010740654;08/02/2010 17:13:57
Put;1 000 $;18 juin 10;0,57 € (c);0,60 € (c);50/1; 30,4 %;8,12;0034S;FR0010794073;08/02/2010 17:27:05
Put;1 100 $;18 juin 10;1,32 € (c);1,35 € (c);50/1; 53,7 %;6,32;0468S;FR0010817387;08/02/2010 17:28:14
Call;950 $;17 sept. 10;2,50 € (c);2,53 € (c);50/1;74,5 %;4,62;0035S;FR0010794081;08/02/2010 17:29:49
Call;1 050 $;17 sept. 10;1,62 € (c);1,65 € (c);50/1;58 %;5,57;0036S;FR0010794099;08/02/2010 17:29:49
Call;1 150 $;17 sept. 10;0,97 € (c);1,00 € (c);50/1;41,7 %;6,68;0469S;FR0010817395;08/02/2010 17:29:31
Call;1 250 $;17 sept. 10;0,65 € (c);0,68 € (c);50/1;30 %;7,04;0470S;FR0010817403;08/02/2010 17:26:53
Put;850 $;17 sept. 10;0,30 € (c);0,32 € (c);50/1; 13,5 %;6,67;0037S;FR0010794107;08/02/2010 17:27:15
Put;950 $;17 sept. 10;0,66 € (c);0,69 € (c);50/1; 25,4 %;5,88;0038S;FR0010794115;08/02/2010 17:26:12
Put;1 050 $;17 sept. 10;1,26 € (c);1,29 € (c);50/1; 41,9 %;5,08;0039S;FR0010794123;08/02/2010 17:27:06
Call;1 200 $;17 déc. 10;1,17 € (c);1,20 € (c);50/1;40,3 %;5,30;0471S;FR0010817411;08/02/2010 17:27:15
Call;1 300 $;17 déc. 10;0,84 € (c);0,87 € (c);50/1;31 %;5,60;0472S;FR0010817429;08/02/2010 17:28:14
Put;1 000 $;17 déc. 10;1,18 € (c);1,21 € (c);50/1; 34,4 %;4,50;0473S;FR0010817437;08/02/2010 17:26:50
;;;;;;;;;;
Les chiffres relatifs à des performances futures sont des prévisions qui ne constituent pas un indicateur fiable quant aux performances futures.;;;;;;;;;;
Les gains ou pertes éventuels peuvent se voir réduits ou augmentés en fonction des taux de change et ne prennent pas en compte les frais, commissions et redevances éventuels supportés par l'investisseur;;;;;;;;;;
(ex : impôts, taxes ou autres frais induits par la réglementation locale, frais de courtage ou autres commissions prélevés par l'intermédiaire financier...);;;;;;;;;;
